Codigo,Nombre,Descripcion,Categoria,UM,Stock Medio,Stock Minimo,P. compra,P. publico,P. menudeo,P. mayoreo,Moneda,Control stock,Fecha Modificacion,Usuario Modificacion
1183,SACO DE ALPACA,SACO DE ALPACA,P. VESTIR,Un,0,0,15.0,25,25,25,Soles,NO,30/04/2024,TATI
1182,MOCHILA DE RUEDAS,MOCHILA DE RUEDAS,P. CASA,Un,0,0,25.0,25,25,25,Soles,NO,28/02/2024,TATI
1181,LONCHERA,LONCHERA,P. CASA,Un,0,0,15.0,15,15,15,Soles,NO,28/02/2024,TATI
1180,FUNDA MOTO,FUNDA MOTO,P. CASA,Un,0,0,30.0,30,30,30,Soles,NO,15/02/2024,TATI
1179,FUNDA SUV,FUNDA SUV,P. CASA,Un,0,0,40.0,40,40,40,Soles,NO,15/02/2024,TATI
1178,FUNDA DE CAMIONETA,FUNDA DE CAMIONETA,P. CASA,Un,0,0,45.0,45,45,45,Soles,NO,17/05/2024,TATI
1177,PROMO ZAPATILLAS 3 PARES,PROMO ZAPATILLAS 3 PARES,PROMOCIONES,Un,0,0,51.0,51,51,51,Soles,NO,29/09/2023,TATI
1176,COLCHON CUNA,COLCHON CUNA,P. CASA,Un,0,0,70.0,70,70,70,Soles,NO,29/09/2023,TATI
1175,CASACA DE NYLON CON RELLENO,CASACA DE NYLON CON RELLENO,P. VESTIR,Un,0,0,18.0,18,18,18,Soles,NO,30/04/2024,TATI
1174,COLCHON KING,COLCHON KING,P. CASA,Un,0,0,160.0,160,160,160,Soles,NO,4/10/2023,TATI
1172,COLCHON QUEEN,COLCHON QUEEN,P. CASA,Un,0,0,140.0,140,140,140,Soles,NO,4/10/2023,TATI
1171,COLCHON 1 1/2 PLAZAS,COLCHON 1 1/2 PLAZAS,P. CASA,Un,0,0,100.0,100,100,100,Soles,NO,4/10/2023,TATI
1170,COLCHON 2 PLAZAS,COLCHON 2 PLAZAS,P. CASA,Un,0,0,120.0,120,120,120,Soles,NO,4/10/2023,TATI
1169,UNIFORME MEDICO 02 PIEZAS (POLO + PANTALON),UNIFORME MEDICO 02 PIEZAS (POLO + PANTALON),P. VESTIR,Un,0,0,15.0,15,15,15,Soles,NO,9/05/2023,TATI
1168,PROMO ZAPATILLAS 4 PARES,PROMO ZAPATILLAS 4 PARES,PROMOCIONES,Un,0,0,60.0,60,60,60,Soles,NO,26/04/2023,TATI
1167,PROMO ZAPATILLAS 2 PARES,PROMO ZAPATILLAS 2 PARES,PROMOCIONES,Un,0,0,34.0,34,34,34,Soles,NO,26/04/2023,TATI
1166,SACO DE GAMUSA,SACO DE GAMUSA,P. VESTIR,Un,0,0,15.0,15,15,15,Soles,NO,4/01/2023,TATI
1165,SILLA MECEDORA DE BEBE,SILLA MECEDORA DE BEBE,P. CASA,Un,0,0,30.0,30,30,30,Soles,NO,28/02/2024,TATI
1164,UNIFORME MEDICO (3 PIEZAS),UNIFORME MEDICO (3 PIEZAS),P. VESTIR,Un,0,0,30.0,30,30,30,Soles,NO,21/12/2022,TATI
1163,FRAZADA POLAR KING,FRAZADA POLAR KING,P. CASA,Un,0,0,22.0,22,22,22,Soles,NO,13/12/2022,TATI
1162,VELO DE NOVIA,VELO DE NOVIA,P. VESTIR,Un,0,0,25.0,25,25,25,Soles,NO,2/12/2022,TATI
1161,FRAZADA POLAR QUEEN,FRAZADA POLAR QUEEN,P. CASA,Un,0,0,20.0,20,20,20,Soles,NO,30/04/2024,TATI
1160,CHALINA,CHALINA,P. VESTIR,Un,0,0,6.0,6,6,6,Soles,NO,14/11/2022,TATI
1159,GORRO,GORRO,P. VESTIR,Un,0,0,4.0,6,6,6,Soles,NO,30/04/2024,TATI
1158,SILLA FORRADA DE PELUCHE,SILLA FORRADA DE PELUCHE,P. CASA,Un,0,0,35.0,35,35,35,Soles,NO,5/11/2022,TATI
1157,TEÑIDO CHOMPA,TEÑIDO CHOMPA,TEÑIDO,Un,0,0,13.0,15,15,15,Soles,NO,30/04/2024,TATI
1156,CASACA DE CUERO,CASACA DE CUERO,P. VESTIR,Un,0,0,36.0,36,36,36,Soles,NO,24/10/2022,TATI
1155,FUNDAS DE SILLAS,FUNDAS DE SILLAS,P. CASA,Un,0,0,6.0,6,6,6,Soles,NO,21/10/2022,TATI
1154,PISO DE BAÑO,PISO DE BAÑO,P. CASA,Un,0,0,5.0,5,5,5,Soles,NO,10/10/2022,TATI
1153,CASACA DE CORDUROY / GAMUZA,CASACA DE CORDUROY / GAMUZA,P. VESTIR,Un,0,0,18.0,18,18,18,Soles,NO,30/04/2024,TATI
1152,FRAZADA DE LANA QUEEN,FRAZADA DE LANA QUEEN,P. CASA,Un,0,0,16.0,16,16,16,Soles,NO,5/10/2022,TATI
1149,SABANA UNIDAD,SABANA UNIDAD,P. CASA,Un,0,0,5.0,5,5,5,Soles,NO,9/09/2022,TATI
1148,CUBRECAMA 1 1/2,CUBRECAMA 1 1/2,P. CASA,Un,0,0,17.0,19,19,19,Soles,NO,30/04/2024,TATI
1146,POLLERA,POLLERA,P. VESTIR,Un,0,0,20.0,35,35,35,Soles,NO,4/10/2023,TATI
1145,VESTIDO (ADULTO),VESTIDO (ADULTO),P. VESTIR,Un,0,0,18.0,25,25,25,Soles,NO,30/04/2024,TATI
1144,FRAZADA DE LANA KING,FRAZADA DE LANA KING,P. CASA,Un,0,0,18.0,18,18,18,Soles,NO,24/08/2022,TATI
1143,CUBRECAMA QUEEN,CUBRECAMA QUEEN,P. CASA,Un,0,0,21.0,23,23,23,Soles,NO,30/04/2024,TATI
1142,CUBRECAMA 2 PLAZAS,CUBRECAMA 2 PLAZAS,P. CASA,Un,0,0,19.0,21,21,21,Soles,NO,30/04/2024,TATI
